id,name,categ_id
39674,INT ACENTO EMP LED B 11W100-240V800LM,DISPOSITIVO / IOT
39684,INT ACENTO EMP LED N 11W100-240V800LM,DISPOSITIVO / IOT
39676,SERIE DE EXT 12W100-240VCA RGBWIFI(TUYA),DISPOSITIVO / IOT
39682,SERIE DE EXTERIOR 12W100-240VCA RGB WIFI,DISPOSITIVO / IOT
39675,INT ACENTO EMP LED 12W100-240V,ILUMINACION / ILUMINACION-REMODELACION
39715,BOCINA BROBOTIX  BT RECTANGULO AZUL,ACCESORIO / BOCINA / GENERAL
39716,BOCINA BROBOTIX  BT RECTANGULO NEGRO,ACCESORIO / BOCINA / GENERAL
39717,BOCINA BROBOTIX  BT RECTANGULO GRIS,ACCESORIO / BOCINA / GENERAL
39718,BOCINA BROBOTIX  BT RECTANGULO ROJO,ACCESORIO / BOCINA / GENERAL
39677,INT ACENTO SPOT RIEL LED N 14W100-240V,DISPOSITIVO / IOT
39725,ADAPTADOR BROBOTIX TIPO-C A 3.5MM,ACCESORIO / CABLE / GENERAL
39719,"MOUSE USB GAMER, BACKLIGHT MULTICOLOR, NEGRO",ACCESORIO / GAMER
39724,TECLADO Y MOUSE USB BROBOTIX RGB HUMO,ACCESORIO / GAMER
40156,"Lámpara Downlight LED Empotrable 18 W, Luz Suave Cálida, No atenuable, LED integrado",ILUMINACION / ILUMINACION-REMODELACION
39693,"LÁMPARA DOWNLIGHT LED EMPOTRABLE 18 W, LUZ DE DÍA, NO ATENUABLE, LED INTEGRADO",ILUMINACION / ILUMINACION-REMODELACION
39713,BOCINA BROBOTIX  BT 360 AZUL,ACCESORIO / BOCINA / GENERAL
39712,BOCINA BROBOTIX  BT 360 GRIS,ACCESORIO / BOCINA / GENERAL
39714,BOCINA BROBOTIX  BT 360 NEGRO,ACCESORIO / BOCINA / GENERAL
39711,BOCINA BROBOTIX  BT 360 ROJA,ACCESORIO / BOCINA / GENERAL
39720,MOUSE-USB BROBOTIX ILUMINADO RGB STORM,ACCESORIO / GAMER
39683,INT DEC SUSPENDIDOS LED 3W100-240V3000K,DISPOSITIVO / IOT
39685,INT OFFICE EMP LED 40W100-240V,DISPOSITIVO / IOT
39673,INT OFFICE EMP LED 40W100-240V,DISPOSITIVO / IOT
39723,TECLADO Y MOUSE USB BROBOTIX RGB NEGRO,ACCESORIO / GAMER
39721,TECLADO-USB GAMER BROBOTIX ILUMINADO RGB 1MANO,ACCESORIO / GAMER
39680,LAMPARA LED GU10 5W100-127V 3000K,DISPOSITIVO / IOT
39672,LAMPARA LED MR16 5W100-127V 3000K,DISPOSITIVO / IOT
39679,LAMPARA LED MR16 5W100-127V RGB,DISPOSITIVO / IOT
39726,ADAPTADOR BROBOTIX TIPO-C A 3.5MM Y TIPO-C,ACCESORIO / CABLE / GENERAL
39727,"DOCK 5EN1 BROBOTIX TIPO-C A HDMI, RJ45, USB3.0 Y TIPO-C",ACCESORIO / CABLE / GENERAL
24888,LAMPARA LED A19 7W 127V,DISPOSITIVO / IOT
39678,INT ACENTO SPOT RIEL LED N 7W100-240V,DISPOSITIVO / IOT
24889,LAMPARA LED A19 RGB 8W 100-127V 3000K,DISPOSITIVO / IOT
39722,TECLADO-USB GAMER BROBOTIX ILUMINADO RGB RETRO,ACCESORIO / GAMER
29128,CARGADOR ACEFAST 65W 2-USB-C 1-USB-A,ACCESORIO / CARGADOR / PREMIUM
29133,CARGADOR ACEFAST 20W 1-USB-C,ACCESORIO / CARGADOR / PREMIUM
29132,CARGADOR ACEFAST 32W 1-USB-C 1-USB-A,ACCESORIO / CARGADOR / PREMIUM
19262,AUDIFONOS 1HORA AUT070 STELAU BLANCO,ACCESORIO / AUDIFONO / GENERAL
19263,AUDIFONOS 1HORA AUT070 STELAU NEGRO,ACCESORIO / AUDIFONO / GENERAL
19264,AUDIFONOS 1HORA AUT091 B-10 STELAU NEGRO,ACCESORIO / AUDIFONO / GENERAL
19265,AUDIFONOS 1HORA AUT104 B-20 STELAU BLANCO,ACCESORIO / AUDIFONO / GENERAL
19266,AUDIFONOS 1HORA AUT104 B-20 STELAU NEGRO,ACCESORIO / AUDIFONO / GENERAL
19301,AUDÍFONOS C/CABLE 1HORA AUT111 NEGRO,ACCESORIO / AUDIFONO / GENERAL
19292,AUDÍFONOS BT 1HORA AUT114 BLANCO,ACCESORIO / AUDIFONO / GENERAL
19293,AUDÍFONOS BT 1HORA AUT114 NEGRO,ACCESORIO / AUDIFONO / GENERAL
19206,AUDIFONO GAMER 1HORA AUT115 NEGRO,ACCESORIO / GAMER
19259,AUDÍFONOS 1HORA 3.5MM AUT117 BLANCO,ACCESORIO / AUDIFONO / GENERAL
26273,AUDÍFONOS 1HORA 3.5MM AUT117 NGO,ACCESORIO / AUDIFONO / GENERAL
28978,AUDIFONOS INAL 1HORA AUT119 AZUL-MARINO,ACCESORIO / AUDIFONO / GENERAL
28979,AUDIFONOS INAL 1HORA AUT119 LILA,ACCESORIO / AUDIFONO / GENERAL
28980,AUDIFONOS INAL 1HORA AUT119 MORADO-PASTEL,ACCESORIO / AUDIFONO / GENERAL
28982,AUDIFONOS INAL 1HORA AUT119 ROJO,ACCESORIO / AUDIFONO / GENERAL
19329,AUDIFONOS INAL 1HORA AUT119 ROSA,ACCESORIO / AUDIFONO / GENERAL
28981,AUDIFONOS INAL 1HORA AUT119 ROSA-MEXICANO,ACCESORIO / AUDIFONO / GENERAL
19326,AUDÍFONOS INAL 1HORA AUT119 AZUL,ACCESORIO / AUDIFONO / GENERAL
19327,AUDÍFONOS INAL 1HORA AUT119 BLANCO,ACCESORIO / AUDIFONO / GENERAL
19328,AUDÍFONOS INAL 1HORA AUT119 NEGRO,ACCESORIO / AUDIFONO / GENERAL
19330,AUDIFONOS INAL 1HORA AUT120 BLANCO,ACCESORIO / AUDIFONO / GENERAL
19331,AUDIFONOS INAL 1HORA AUT120 NEGRO,ACCESORIO / AUDIFONO / GENERAL
19343,AUDÍFONOS INAL-BT 1HORA AUT121 NEGRO,ACCESORIO / AUDIFONO / GENERAL
19260,AUDÍFONOS 1HORA 3.5MM AUT123 BLANCO,ACCESORIO / AUDIFONO / GENERAL
